open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1520380800000,813.31,826.2,718.4,749.9,109013.2838,1520467199999,83030975.9043689,157657,0,0,0
1520467200000,749.02,772.07,684.0,695.46,76312.77819,1520553599999,55751521.7845615,124325,0,0,0
1520553600000,695.48,727.92,640.0,723.71,116545.37303,1520639999999,79262060.7540076,174238,0,0,0
1520640000000,723.65,745.0,673.06,680.58,63012.67972,1520726399999,45345997.5042329,98429,0,0,0
1520726400000,680.58,735.0,659.15,720.85,73967.35869,1520812799999,51773437.8671232,108011,0,0,0
1520812800000,721.0,740.5,676.31,697.11,67732.85988,1520899199999,48042091.346384,107566,0,0,0
1520899200000,696.52,713.76,680.0,689.94,55735.18315,1520985599999,38651705.8540196,110481,0,0,0
1520985600000,690.16,703.54,585.0,610.1,89904.25415,1521071999999,57785217.4853055,139296,0,0,0
1521072000000,610.1,621.12,570.0,608.83,94426.72453,1521158399999,56487242.0087846,139923,0,0,0
1521158400000,608.83,625.3,584.15,599.05,64720.20994,1521244799999,39356556.4721097,84631,0,0,0
1521244800000,599.03,609.26,544.0,546.95,68022.4592,1521331199999,39167671.2478979,85603,0,0,0
1521331200000,547.98,560.0,450.0,537.0,248817.226,1521417599999,125170992.0632535,273110,0,0,0
1521417600000,537.39,560.0,515.8,556.88,184798.77062,1521503999999,99812549.6389014,190236,0,0,0
1521504000000,556.88,567.87,515.0,557.0,135426.91549,1521590399999,73696454.5594795,141920,0,0,0
1521590400000,557.0,590.52,545.11,559.17,117019.17321,1521676799999,66572210.6709511,139151,0,0,0
1521676800000,559.15,578.6,516.0,539.92,111106.19916,1521763199999,60459505.6065908,123941,0,0,0
1521763200000,539.78,544.72,506.71,543.03,106416.06746,1521849599999,55542669.0430983,122067,0,0,0
1521849600000,543.2,545.99,518.63,520.22,87710.78945,1521935999999,46963103.4507316,104841,0,0,0
1521936000000,521.17,536.0,512.0,523.74,71903.1713,1522022399999,37482165.1820822,90242,0,0,0
1522022400000,523.95,527.67,465.56,485.0,151084.23688,1522108799999,74104022.1300024,144216,0,0,0
1522108800000,485.0,491.55,446.0,448.5,138188.76042,1522195199999,63816245.4274086,139179,0,0,0
1522195200000,448.5,466.0,440.14,446.67,89895.47885,1522281599999,40547475.9536683,90706,0,0,0
1522281600000,446.07,449.43,380.0,384.0,225341.94316,1522367999999,91719449.9304218,176576,0,0,0
1522368000000,383.87,412.04,366.0,392.43,292254.79437,1522454399999,112316125.3267166,232555,0,0,0
1522454400000,392.4,419.4,388.52,393.92,167833.59399,1522540799999,67461541.5886628,134396,0,0,0
1522540800000,393.93,399.91,356.9,378.58,150493.99422,1522627199999,56620178.3543407,119329,0,0,0
1522627200000,378.58,394.87,375.0,385.05,113242.14191,1522713599999,43596858.5024712,95810,0,0,0
1522713600000,385.0,419.08,380.13,415.01,137897.55565,1522799999999,55385110.1548381,118778,0,0,0
1522800000000,415.0,416.5,370.0,378.16,140598.39668,1522886399999,54594624.7569424,132792,0,0,0
1522886400000,378.15,387.03,365.61,381.22,120314.05875,1522972799999,45411126.8956174,103370,0,0,0
1522972800000,381.56,385.91,362.54,368.89,74458.69141,1523059199999,27645272.516507,69396,0,0,0
1523059200000,368.89,394.75,368.28,384.51,71463.42848,1523145599999,27442723.6552181,65341,0,0,0
1523145600000,384.51,404.05,384.0,400.4,57395.52936,1523231999999,22720923.5470005,61290,0,0,0
1523232000000,400.4,431.99,387.1,399.44,151653.50413,1523318399999,61605245.8672748,122647,0,0,0
1523318400000,399.25,418.68,391.4,416.07,81394.29605,1523404799999,32805764.1019723,73634,0,0,0
1523404800000,415.53,433.54,410.38,429.52,86706.68627,1523491199999,36371404.2251047,76885,0,0,0
1523491200000,429.9,499.0,412.88,495.67,249766.38316,1523577599999,113968625.2863396,202769,0,0,0
1523577600000,494.3,530.0,480.22,495.11,251752.08782,1523663999999,127274585.0424597,206506,0,0,0
1523664000000,494.69,515.0,485.58,502.68,121283.3338,1523750399999,60727364.2740579,98631,0,0,0
1523750400000,502.68,535.0,502.51,533.88,108739.15395,1523836799999,56506254.9725316,93171,0,0,0
1523836800000,533.88,538.0,497.31,511.46,130359.52549,1523923199999,66652300.8067962,103147,0,0,0
1523923200000,512.09,521.2,500.02,502.56,96541.96382,1524009599999,49273622.8530706,91563,0,0,0
